classe,numero,incidente_id,descricao,andamento_data,andamento_nome,destinatarios,url
AC,4430,5749422,operação Fernando Bezerra Coelho,06/04/2020,Vista à PGR para fins de intimação,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5749422
AC,4431,5749425,operação Fernando Bezerra Coelho,01/10/2019,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5749425
AC,4432,5749427,operação Fernando Bezerra Coelho,01/10/2019,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5749427
AC,4433,5749429,operação Fernando Bezerra Coelho,25/11/2019,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5749429
AC,4437,5775335,Collor,20/03/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5775335
ACO,158,1432955,ação de 77 uma das mais antigas,20/03/2020,"Ata de Julgamento Publicada, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=1432955
ADC,43,4986065,prisão em segunda instância,09/01/2020,Juntada de AR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4986065
ADC,44,4986729,prisão em segunda instância,17/12/2019,Juntada de AR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4986729
ADC,54,5440576,prisão em segunda instância,17/12/2019,Juntada de AR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5440576
ADI,3406,2272225,Sama,06/04/2020,Pauta publicada no DJE - Plenário,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=2272225
ADI,4917,4379376,Royalties do petróleo Rio,08/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4379376
ADI,5090,4528066,correção poupança pela inflação,20/02/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4528066
ADI,5581,5037704,Aborto em caso de Zika,21/02/2020,Retirado de mesa,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5037704
ADI,5708,5193491,uso maconha fins medicinais,18/12/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5193491
ADI,5956,5481962,Frete,07/04/2020,Despacho,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5481962
ADI,5959,5485876,Frete,07/04/2020,Despacho,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5485876
ADI,6119,5674482,decreto armas PSB,11/09/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5674482
ADI,6127,5688755,cortes educação,16/10/2019,Despacho,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5688755
ADI,6134,5694027,decreto armas PSOL,19/09/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5694027
ADI,6139,5698214,decreto armas PSB,21/11/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5698214
ADI,6140,5700688,nomeações,21/08/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5700688
ADI,6147,5706858,Funai,19/09/2019,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5706858
ADI,6148,5707157,Conama,10/12/2019,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5707157
ADI,6156,5718874,PDT MP Liberdade Econômica,04/09/2019,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5718874
ADI,6162,5721428,honorários procuradores,30/10/2019,Certidão,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5721428
ADI,6184,5727040,Solidariedade MP Liberdade Econômica,10/10/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5727040
ADI,6193,5736662,bebida MT estádio,02/04/2020,"Publicado acórdão, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5736662
ADI,6195,5736667,bebida PR estádio,03/04/2020,"Ata de Julgamento Publicada, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5736667
ADI,6200,5738022,Goiás,06/04/2020,Pauta publicada no DJE - Plenário,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5738022
ADI,6235,5784182,OAB por estender detector metal,18/02/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5784182
ADI,6236,5784525,AMB contra 11 art abuso autoridade,03/04/2020,Juntada de AR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5784525
ADI,6238,5792373,Conamp abuso de autoridade,02/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5792373
ADI,6239,5792383,Ajufe abuso de autoridade,06/04/2020,Vista ao AGU,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5792383
ADI,6261,5815574,SD mp contrato verde amarelo,07/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5815574
ADI,6265,5818351,PDT mp contrato verde amarelo,07/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5818351
ADI,6277,5826543,Witzel royalties,02/03/2020,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5826543
ADI,6279,5828258,PT reforma da previdência,02/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5828258
